Daniel Noel Drinkwater,26,England,Midfield - Central Midfield,right,4.50m,4,Stellar Football Ltd,http://www.transfermarkt.co.uk//danny-drinkwater/profil/spieler/73491
Matthew Thomas Ritchie,26,Scotland,Midfield - Right Midfield,left,4.50m,30,not informed,http://www.transfermarkt.co.uk//matt-ritchie/profil/spieler/92469
Demarai Ramelle Gray,19,England,Midfield - Left Wing,right,4.50m,22,firsteleven ISM,http://www.transfermarkt.co.uk//demarai-gray/profil/spieler/292417
Connor Neil Ralph Wickham,23,England,Striker - Centre Forward,right,4.50m,21,Stellar Football Ltd,http://www.transfermarkt.co.uk//connor-wickham/profil/spieler/95435
Jonathan Grant Evans,28,Northern Ireland,Defence - Centre Back,right,4.50m,6,Not clarified,http://www.transfermarkt.co.uk//jonny-evans/profil/spieler/42412
Jermain Colin Defoe,33,England,Striker - Centre Forward,right,4.50m,18,Andrew Sky,http://www.transfermarkt.co.uk//jermain-defoe/profil/spieler/3875
Aaron Justin Lennon,29,England,Midfield - Right Wing,right,4.50m,12,Base Soccer Agency Ltd,http://www.transfermarkt.co.uk//aaron-lennon/profil/spieler/14221
Jefferson Antonio Montero Vite,26,Ecuador,Midfield - Left Wing,both,4.13m,20,Not clarified,http://www.transfermarkt.co.uk//jefferson-montero/profil/spieler/77932
Jason David Ian Puncheon,29,England,Midfield - Right Wing,left,3.75m,42,not informed,http://www.transfermarkt.co.uk//jason-puncheon/profil/spieler/47995
Callum Henry McManaman,25,England,Striker - Right Wing,right,3.75m,19,not informed,http://www.transfermarkt.co.uk//callum-mcmanaman/profil/spieler/61711
Patrick James Bamford,22,England,Striker - Centre Forward,left,3.75m,11,not informed,http://www.transfermarkt.co.uk//patrick-bamford/profil/spieler/183334
Kasper Peter Schmeichel,29,Denmark,Goalkeeper,right,3.75m,1,First Artist Scandinavia A/S,http://www.transfermarkt.co.uk//kasper-schmeichel/profil/spieler/16911
Joel Edward Philip Ward,26,England,Defence - Right-Back,right,3.75m,2,Relatives,http://www.transfermarkt.co.uk//joel-ward/profil/spieler/92572
Thomas James Carroll,23,England,Midfield - Central Midfield,left,3.75m,28,not informed,http://www.transfermarkt.co.uk//tom-carroll/profil/spieler/121279
Jesse Ellis Lingard,23,England,Midfield - Right Wing,right,3.75m,35,not informed,http://www.transfermarkt.co.uk//jesse-lingard/profil/spieler/141660
Ruben Ira Loftus-Cheek,20,England,Midfield - Central Midfield,right,3.75m,36,not informed,http://www.transfermarkt.co.uk//ruben-loftus-cheek/profil/spieler/202886
Kelechi Promise Iheanacho,19,Nigeria,Striker - Centre Forward,left,3.75m,72,just football,http://www.transfermarkt.co.uk//kelechi-iheanacho/profil/spieler/295330
Tetchi Jores Charlemagne Okore,23,Denmark,Defence - Centre Back,right,3.75m,5,not informed,http://www.transfermarkt.co.uk//jores-okore/profil/spieler/129085
James Clark Morrison,29,Scotland,Midfield - Central Midfield,right,3.75m,7,Key Sports Managment Ltd.,http://www.transfermarkt.co.uk//james-morrison/profil/spieler/27614
Oriol Romeu Vidal,24,Spain,Midfield - Defensive Midfield,right,3.75m,14,Not clarified,http://www.transfermarkt.co.uk//oriol-romeu/profil/spieler/66100
Micah Lincoln Richards,27,England,Defence - Centre Back,right,3.75m,4,SEM Group plc.,http://www.transfermarkt.co.uk//micah-richards/profil/spieler/32617
Neil John Taylor,27,Wales,Defence - Left-Back,left,3.38m,3,not informed,http://www.transfermarkt.co.uk//neil-taylor/profil/spieler/67416
Patrick James Coleman McNair,21,Northern Ireland,Defence - Centre Back,right,3.38m,33,not informed,http://www.transfermarkt.co.uk//patrick-mcnair/profil/spieler/167268
Patrick John Miguel van Aanholt,25,Netherlands,Defence - Left-Back,left,3.38m,3,not informed,http://www.transfermarkt.co.uk//patrick-van-aanholt/profil/spieler/52119
Samuel Mark Byram,22,England,Defence - Right-Back,right,3.38m,22,not informed,http://www.transfermarkt.co.uk//sam-byram/profil/spieler/236953
,1,86 m,Austria,Defence - Left-Back,left,3.38m,28,GRASS IS GREEN,http://www.transfermarkt.co.uk//christian-fuchs/profil/spieler/6636
Charles Graham Adam,30,Scotland,Midfield - Central Midfield,left,3.38m,16,not informed,http://www.transfermarkt.co.uk//charlie-adam/profil/spieler/28990
Ashley Roy Westwood,26,England,Midfield - Defensive Midfield,right,3.00m,15,not informed,http://www.transfermarkt.co.uk//ashley-westwood/profil/spieler/91317
Jack Frank Porteous Cork,26,England,Midfield - Defensive Midfield,right,3.00m,24,not informed,http://www.transfermarkt.co.uk//jack-cork/profil/spieler/40613
Ivo Daniel Ferreira Mendonca Pinto,26,Portugal,Defence - Right-Back,right,3.00m,25,Onsoccer,http://www.transfermarkt.co.uk//ivo-pinto/profil/spieler/82281
Lewis James Grabban,28,Jamaica,Striker - Centre Forward,right,3.00m,28,not informed,http://www.transfermarkt.co.uk//lewis-grabban/profil/spieler/35413
Jonathan Mark Howson,27,England,Midfield - Central Midfield,both,3.00m,8,Stellar Football Ltd,http://www.transfermarkt.co.uk//jonathan-howson/profil/spieler/45395
Felix Junior Stanislas,26,England,Midfield - Left Wing,right,3.00m,19,not informed,http://www.transfermarkt.co.uk//junior-stanislas/profil/spieler/87672
Martin Tony Waikwa Olsson,27,Sweden,Defence - Left-Back,left,3.00m,23,HCM Sport Agency,http://www.transfermarkt.co.uk//martin-olsson/profil/spieler/38073
Martin Ronald Kelly,26,England,Defence - Right-Back,right,3.00m,34,Stellar Football Ltd,http://www.transfermarkt.co.uk//martin-kelly/profil/spieler/78959
Joseph Christopher Ledley,29,Wales,Midfield - Central Midfield,left,3.00m,28,Base Soccer Agency Ltd,http://www.transfermarkt.co.uk//joe-ledley/profil/spieler/34409
Benjamin Anthony Foster,33,England,Goalkeeper,right,3.00m,1,not informed,http://www.transfermarkt.co.uk//ben-foster/profil/spieler/13572
Nathan Antone Jonah Dyer,28,England,Midfield - Right Wing,right,3.00m,24,Stellar Football Ltd,http://www.transfermarkt.co.uk//nathan-dyer/profil/spieler/37011
Carles Gil de Pareja Vicent,23,Spain,Midfield - Right Wing,left,3.00m,25,No agent,http://www.transfermarkt.co.uk//carles-gil/profil/spieler/127987
Jordon James Edward Sydney Mutch,24,England,Midfield - Central Midfield,right,3.00m,22,not informed,http://www.transfermarkt.co.uk//jordon-mutch/profil/spieler/57207
Andre Alexander Shaquille Wisdom,23,England,Defence - Right-Back,right,3.00m,3,Stellar Football Ltd,http://www.transfermarkt.co.uk//andre-wisdom/profil/spieler/128912
Marc Kevin Albrighton,26,England,Midfield - Left Midfield,right,3.00m,11,not informed,http://www.transfermarkt.co.uk//marc-albrighton/profil/spieler/61560
Claudio Ariel Yacob,28,Argentina,Midfield - Defensive Midfield,right,3.00m,5,not informed,http://www.transfermarkt.co.uk//claudio-yacob/profil/spieler/45330
Tiago Abiola Delfim Almeida Ilori,23,Portugal,Defence - Centre Back,right,3.00m,26,Eden Sports Group,http://www.transfermarkt.co.uk//tiago-ilori/profil/spieler/177859
Christopher Brunt,31,Northern Ireland,Midfield - Left Midfield,left,3.00m,11,Key Sports Managment Ltd.,http://www.transfermarkt.co.uk//chris-brunt/profil/spieler/36814
Vurnon San Benito Anita,27,Netherlands,Midfield - Defensive Midfield,right,3.00m,8,Perfect!,http://www.transfermarkt.co.uk//vurnon-anita/profil/spieler/30670
Joseph Dave Gomez,18,England,Defence - Centre Back,right,2.63m,12,Key Sports Managment Ltd.,http://www.transfermarkt.co.uk//joe-gomez/profil/spieler/256178
Alexander Banor Tettey,30,Norway,Midfield - Defensive Midfield,right,2.63m,27,Management 15,http://www.transfermarkt.co.uk//alexander-tettey/profil/spieler/12384
Fraizer Lee Campbell,28,England,Striker - Centre Forward,right,2.63m,9,Stellar Football Ltd,http://www.transfermarkt.co.uk//fraizer-campbell/profil/spieler/42411
Jonathan Ronald Walters,32,Ireland,Striker - Right Wing,right,2.63m,19,not informed,http://www.transfermarkt.co.uk//jonathan-walters/profil/spieler/3306
Lee Barry Cattermole,28,England,Midfield - Defensive Midfield,right,2.63m,6,Stellar Football Ltd,http://www.transfermarkt.co.uk//lee-cattermole/profil/spieler/37363
Sebastian Bengt Ulf Larsson,30,Sweden,Midfield - Central Midfield,right,2.63m,7,Anders Carlsson,http://www.transfermarkt.co.uk//sebastian-larsson/profil/spieler/31720
Scott Andrew Sinclair,27,England,Midfield - Left Wing,right,2.63m,9,Stellar Football Ltd,http://www.transfermarkt.co.uk//scott-sinclair/profil/spieler/31552
Russell Kenneth Alexander Martin,30,Scotland,Defence - Centre Back,right,2.25m,5,not informed,http://www.transfermarkt.co.uk//russell-martin/profil/spieler/67303
